,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
33,10207 N TYLER AVE,265000,3239.32,7500,1720,1260,4,2.0,1927,1 STY W/ATTIC & BSMT,ST. JOHNS,2492,,5,0,,,,,,,,1,31
34,10214 N LEONARD ST,306500,2725.81,5700,1360,1060,3,1.0,1943,1 STY W/ATTIC,ST. JOHNS,1360,sitton,5,0,Composition,Wood,Carport,Baseboard,,Cape Cod,,1,21
35,10215 N MOHAWK AVE,265000,2932.58,5000,1228,753,3,2.0,1910,2 OR MORE STY W/BSMT,ST. JOHNS,1675,,5,0,Composition,Shingle,Garage - Attached,Forced air,,Other,,1,20
36,10215 N POLK AVE,180000,2181.39,5000,789,789,2,1.0,1921,1 STY W/BSMT,ST. JOHNS,1394,sitton,5,0,Composition,Vinyl,Garage - Detached,Forced air,None,Bungalow,"Beautifully remodeled bungalow in the heart of St Johns. Bright, open space. Updates include new vinyl siding, bamboo flooring, fully remodeled kitchen with quartz countertops & stainless steel appliances; all new baths, int & ext paint, vinyl windows, new plumbing, electrical, deck, dry bar & wine fridge in the finished basement. Oversize garage/shop perfect for your workshop or future ADU.",1,20
37,10222 N POLK AVE,375800,3774.27,5000,1550,788,3,2.5,2001,2 OR MORE STY,ST. JOHNS,1550,sitton,4,0,Shake / Shingle,Vinyl,Garage - Attached,Forced air,Other,,Turn key ready! Move right into this great St. Johns 2-story! Featuring large living room with gas fireplace and dining room. Open kitchen with breakfast bar and plenty of storage. Slider off dining room to large fenced backyard. Upstairs boasts 3 bedrooms including large master suite with walk-in closet and picture perfect window seat. All new carpet upstairs.Open Sunday 11/13 12:00-3:00,1,25
38,10223 N TIOGA AVE,382050,3360.72,5000,1140,1140,3,2.0,1982,1 STY,ST. JOHNS,1580,,4,0,Composition,Wood,Garage - Attached,Forced air,,Ranch / Rambler,,1,22
39,10226 N HUDSON ST,320000,2095.57,5300,896,896,3,1.0,1950,1 STY,ST. JOHNS,896,sitton,3,0,Asphalt,Wood,Off-street,Forced air,,Ranch / Rambler,"Light and bright single family bungalow with fireplace, New roof 3 bedrooms, large yard and great location.Financing available (OAC) by seller affiliate, Gregory Funding LLC NMLS #266062/Oregon#ML3575",1,24
40,10236 N HUDSON ST,311500,2284.18,5300,784,784,2,1.0,1950,1 STY,ST. JOHNS,784,james john,2,0,Composition,Wood,Off-street,Forced air,,Bungalow,"Walk to a park one block away, and all St John's has to offer: coffee, restaurants, shops, movie theatre! Adorable bungalow with amazing front porch, remodeled kitchen, plenty of storage with mudroom, and amazing shed in the backyard!  Large lot with lots of room for a garden. Come see this one today; it won't last!",1,26
41,10237 N OSWEGO AVE,350000,3048.1,11270,1218,1218,3,2.0,1955,1 STY,ST. JOHNS,1144,,4,0,Shake / Shingle,Wood,Garage - Detached,Forced air,Central,Ranch / Rambler,"Well built 1955 ranch, large remodeled kitchen; master w/ bath. Hardwoods through out. Light bright home w/ huge beautiful back yard.  New roof. New fence. Covered patio, tool shed, detached garage.  Room to garden, chickens, or just your own paradise.",1,30
42,10238 N CENTRAL ST,341000,2229.73,5300,905,905,3,1.0,1954,1 STY,ST. JOHNS,905,,3,0,Shake / Shingle,Wood,Garage - Detached,Forced air,,Ranch / Rambler,"Fixer Home with large backyard. Steps to Pier Park.  Water line is in great condition, home needs new roof and cosmetic repairs inside.  Original Hard Wood floors throughout.  Home inspection completed in May 2015, no gas tanks or environmental concerns reported.",1,22
43,10241 N LEONARD ST,352000,3223.05,5300,1150,850,3,1.0,1943,1 STY W/ATTIC,ST. JOHNS,1150,,8,0,Composition,,,Forced air,None,,"Now available a charming three bedroom cottage in St Johns area. Laminate floors,( hardwood under),fireplace, gas heat and stove, built-ins, nook off kitchen with lots of light, deck. Step off the deck into a nice comfortable backyard, there are drought tolerant, native, eatable plants through-out. Well taken care of home. light above dining room table excluded.",1,22
44,10249 N TYLER AVE,284747,3241.65,5000,1146,1146,3,2.0,1980,1 STY,ST. JOHNS,1146,,4,0,,,,,,,,1,27
45,10258 N ALLEGHENY AVE,300000,2568.07,5000,980,980,3,1.0,1970,1 STY,ST. JOHNS,960,sitton,3,0,Composition,Cement / Concrete,Garage - Attached,Baseboard,,Ranch / Rambler,"Just reduced! Fantastic find in St. Johns area! Beautifully remodeled and move-in ready! Gorgeous kitchen with stainless steel appliances, custom backsplash. Three adorable bedrooms and one renovated bathroom. Outdoor space allows for play area or entertaining. You've got to see this great home!",1,25
46,10301 N OREGONIAN AVE,421000,3978.49,7500,2148,1636,4,1.5,1950,1 STY W/ATTIC,ST. JOHNS,2112,james john,5,0,Composition,Vinyl,Off-street,Baseboard,None,Other,"BEST BUY! Completely remodeled mid century 2-story on dividable lot. 4 bedroom, 1.5 bathroom w/ new slab granite kitchen, bamboo floors, and mainfloor familyroom. Updated baths. Fireplace & garage. $229,950",1,31
47,10309 N MIDWAY AVE,210000,1742.87,5000,720,720,2,1.0,1953,1 STY,ST. JOHNS,720,,2,0,,,,,,,,1,27
48,10314 N ALLEGHENY AVE,288000,2546.14,5000,884,884,3,1.0,1961,1 STY,ST. JOHNS,884,,6,0,Composition,Vinyl,,Forced air,Central,,"Darling St Johns ranch w/ a cooks kitchen! 2 sinks, 2 ovens & a gas cooktop. Private yard with covered patio for all season bbq''s. Hardwood floors under the carpet ready to move in and enjoy for the holidays. Upgraded windows, Central AC and so much more!",1,24
49,10315 N OSWEGO AVE,249000,2308.52,7378,792,792,2,1.0,1954,1 STY,ST. JOHNS,792,,3,0,Composition,Wood,Carport,Baseboard,,Ranch / Rambler,"	Clean ranch on nearly double-lot: check with city to see if dividable. Hardwoods in living room and two generously sized bedrooms. Kitchen features newer cabinets, newish vinyl, fridge, stacked washer/dryer. Newer roof and siding in great shape. Move in today as is or spruce it up and earn instant equity! Covered parking behind home, as well as driveway. Pull-down staircase to abundant attic storage. Blocks to St. Johns. ",1,22
50,10319 N OSWEGO AVE,389999,4896.12,7572,2371,1153,3,2.5,2000,2 OR MORE STY,ST. JOHNS,2368,,7,0,,Vinyl,,Forced air,,,"Beautiful, spacious remodeled home in the hot St. John''s area! Brand new: exterior/interior paint, siding, roof, flooring, SS appliances, Quartz counter tops, custom designed cabinets, and landscaping just to name a few! Home sits on a flag lot which provides privacy, and is also fully fenced!",1,21
51,10321 N MIDWAY AVE,210000,1742.87,5000,720,720,3,1.0,1953,1 STY,ST. JOHNS,3,,2,0,,,,,,,,0,27
52,10334 N MIDWAY AVE,355000,2854.29,5000,1256,1256,3,1.0,1949,1 STY W/BSMT,ST. JOHNS,1256,james john,4,0,Shake / Shingle,Vinyl,Garage - Attached,Forced air,,Bungalow,"A total remodel!! The ""NEW everything"" includes (but not limited to): just finished 20x20x8 storage vault under house, Wirsbo plumbing t/o,energy efficient gas furnace, roof, water heater,all new stainless appliances,granite tile counters,cabinets,vanities,oversized 2 car garage..off street RV parking area. See it, you'll be amazed. Motivated Seller",1,26
53,10339 N MIDWAY AVE,459900,3706.15,5000,2484,1008,4,2.0,1952,1 STY W/ATTIC & BSMT,ST. JOHNS,2484,james john,6,0,Tile,Wood,Garage - Detached,Forced air,,Cape Cod,,1,31
54,10425 N OSWEGO AVE,432500,3408.81,11553,1632,816,3,1.0,1927,2 OR MORE STY W/BSMT,ST. JOHNS,1632,,4,0,Composition,Wood,,Forced air,,Colonial,"Excellent building opportunity in HOT St Johns neighborhood. Zoned R5.  Preliminary discussion with City suggests property can be divided into 4 lots: 1 25x100, 1 36x100, and dividable corner lot for 2 single attached homes. Buyer to do due diligence.  Sold AS IS. Open 11/6 1-3pm",1,26
55,10435 N BARR AVE,299000,3087.96,4300,1592,796,4,1.5,2004,2 OR MORE STY,ST. JOHNS,1592,,4,0,Composition,Vinyl,Off-street,Wall,,Other,"Tastefully remodeled and ready to move in! New Flooring, New SS Appliances, New paint, New tile backsplash & New water heater. Spacious floor plan with 1 Bed/1 Bath on the main level and 3 Bed/1 Bath upstairs. Fenced backyard for entertaining. Potential for future garage or carport. Great location just around the corner from Pier Park and all the fun Downtown St. John''s has to offer.",1,25
56,10510 N MIDWAY AVE,417700,4079.37,5000,2835,1393,4,2.0,1956,1 STY W/BSMT,ST. JOHNS,2784,james john,3,0,Shake / Shingle,Cement / Concrete,Off-street,Forced air,None,Ranch / Rambler,Unique St. John's split level ranch with an enormous fully finished daylight basement. ,1,27
57,4012 N WILLIS BLVD,312366,4136.9,2500,1503,638,3,2.5,2007,2 OR MORE STY,PORTSMOUTH,1483,astor,4,0,Shake / Shingle,,Garage - Attached,Forced air,,Other,"Investors only, please. Fantastic skinny home in popular North Portland Kenton area. Short walk to Columbia Park and close to ST John's downtown. Well cared for 3 bdrm, 2.1 bath home with attached garage, backyard and patio. Great investment property!",1,30
58,4033 N JUNEAU ST,282500,3170.22,5000,1224,1224,4,2.0,1985,1 STY,PORTSMOUTH,1300,rosa parks,3,0,Other,Wood,Off-street,Baseboard,,Ranch / Rambler,"Charming Portsmouth Ranch on .11 Acre Lot. Freshly painted interior! New carpet and fixtures! Move in ready! Spacious living room opens to kitchen with tile floor, new faucet, dining area and exterior door that leads to backyard. Master Suite and three spare bedrooms. Attached oversized one car garage. Fenced backyard with patio, playhouse. Close to University Park.",1,26
59,4035 N KILPATRICK ST,245000,3119.05,11200,1142,1142,3,1.0,1951,1 STY,PORTSMOUTH,1142,,5,0,,,Garage - Attached,Forced air,,,"Located 1 block from Columbia Park in the Portsmouth area of St Johns, this house is COMPLETELY UPDATED. The exterior has new doors and energy efficient windows. The interior has a new kitchen including cabinets, quartz countertops, sink, subway tile backsplash, new stainless steel appliances featuring dishwasher & gas range, built-in microwave and new vinyl flooring. The bath has new fixtures and marmoleum flooring. New carpeting and fresh paint inside and out. New washer & dryer too! 

Additional amenities include larger bedrooms (20x12 & 12.5x15), wood burning fireplace, 2-car garage, attic for storage and a large fenced-in backyard for entertaining and/or gardening. 

Non SMOKING property.

Tenant responsible for utilities (gas, electric, water) and lawn care. Landlord for garbage.
Pets considered with additional fees.

Minimum lease of 1 yr
Maximum  3 adults

Application fee: $40.00/per adult
Rent: $2095.00
Security deposit: $2095.00
Cleaning fee: $250.00",1,27
60,4041 N JUNEAU ST,323000,3310.02,5000,1064,1064,4,2.0,1985,1 STY,PORTSMOUTH,1224,rosa parks,4,0,Other,,,Heat Pump,,Ranch / Rambler,"Lovely Home in Kenton/St John's Neighborhood. Sip Your Coffee on the Covered Front Porch. Excellent Floor Plan with Big Kitchen and Master Suite. Fireplace in Living Room. Fourth Bedroom has Great Potential for Office, Play Room, etc! Over-Sized, Single Car Garage. Private, Fully Fenced Backyard with Opportunity for Garden. New Roof, Vinyl Windows, Water Heater, and Heat Pump! Minutes to I-5, Parks, Schools, and University of Portland.",1,24
61,4049 N JUNEAU ST,235000,1507.79,2500,1224,1224,4,2.0,1985,1 STY,PORTSMOUTH,1224,,4,0,,,,,,,Nice home with brand new roof.,1,20
62,4072 N ATTU ST,283500,2884.24,7244,1020,1020,3,1.0,1981,1 STY,PORTSMOUTH,1020,,4,0,Composition,,,Baseboard,,,"Sweet 3BD/1BA ranch - large open living/dining floor plan with wood-burning fireplace, newer bamboo floors all flowing to kitchen that opens to vine covered pergola''d patio + out to large 7244 SF fenced lot with tool shed and fire pit. Updated kitchen + bath and large garage with built-in storage and workbench. 3 blocks to University Park + EZ access to I-5.",1,24
63,4076 N ATTU ST,347500,2512.43,6071,940,940,3,1.0,1981,1 STY,PORTSMOUTH,940,,3,0,Composition,Wood,,Baseboard,,,"Perfect Ranch Style Fixer located in North Portland. Sold as is Cash Only - Great Investment property! Easy access to commerce, hwy, transportation and education. HURRY this one will go fast so send your highest and best!",1,28
64,4091 N ATTU ST,300000,3370.15,5000,1080,1080,3,2.0,1985,1 STY,PORTSMOUTH,1080,,4,0,Composition,Wood,,Baseboard,None,Bungalow,"This adorable North Portland bungalow has been fully refreshed and is ready for you to move right in! This house lives large with three bedrooms, two baths and a bonus office space. The gorgeous kitchen with cherry cabinets, granite counters and stainless appliances is open to the living space and has a great flow. The garage and shed offer plenty of storage, too!  Every surface has been touched in this renovation!",1,21
68,4115 N HUNT ST,375000,2988.93,5026,1344,672,3,1.5,1997,2 OR MORE STY,PORTSMOUTH,1344,,4,0,Composition,Vinyl,,,,Other,"REMODELED TO PERFECTION - 3BR Home with Newly Remodeled Kitchen and Baths. Features All New: Kitchen Cabinets, Quartz Counters, Stainless Appliances, Bath Vanities, Stranded Bamboo Flooring, Doors and Trim, Lighting and Plumbing Fixtures, Interior Paint, Leafguard Gutters, 50 Year Roof",1,25
69,4135 N WILLIS BLVD,295000,2267.93,4125,720,720,2,1.0,1944,1 STY W/BSMT,PORTSMOUTH,1440,,3,0,Composition,Vinyl,,Forced air,None,Bungalow,"Well maintained North Portland home on corner lot. Opportunity to build an accessory unit (ADU) on property. (Zoned R2.5) Large lot, plenty of room for gardening including a storage shed in a fully fenced yard. Full unfinished basement with full height for future expansion.",1,20
70,4338 N HOUGHTON ST,340000,4027.98,2500,929,929,2,1.0,1943,1 STY W/BSMT,PORTSMOUTH,925,rosa parks,4,0,Shake / Shingle,Wood,,Forced air,None,Other,Green certified gorgeous remodeled Bungalow!,1,30
71,4424 N WILLIS BLVD,509000,2743.02,5350,1256,1256,3,1.5,1932,1 STY W/ATTIC,PORTSMOUTH,1562,,4,0,Composition,Other,Garage - Detached,Forced air,,Bungalow,,1,28
72,4501 N AMHERST ST,457000,3356.75,5800,1550,1082,4,1.0,1945,1 STY W/BSMT,UNIVERSITY PARK,1682,astor,7,0,Shake / Shingle,Metal,Garage - Attached,Forced air,Central,Ranch / Rambler,"Quaint cottage on corner lot, short walk to University of Portland. Clean and crisp, laminate flooring, finished garage, carport, full basement, newer furnace and AC w/wifi enabled thermostat, updated wiring, on demand hot water heater. Excellent condition and location.",1,28
73,4503 N NEWARK ST,350000,3403.9,3317,1796,898,3,2.5,2007,2 OR MORE STY,PORTSMOUTH,1796,rosa parks,5,0,Shake / Shingle,Cement / Concrete,Garage - Attached,Forced air,Central,Craftsman,"Live in this gorgeous contemporary craftsman that feels like old Portland but built for the modern era! Enter to open spaces & btfl hardwood floors. With tons of natural light, an open kitchen, & 9 ft ceilings, this feels like home. Warm yourself by the cozy gas fireplace and cool off with AC. Impressive master suite with walk in closet. Minutes walking to parks and playgrounds. Corner lot & 2 car garage. See 3D virtual tour!",1,31
74,4520 N WILLIS BLVD,353500,3985.79,2500,1502,634,3,2.5,2009,2 OR MORE STY,PORTSMOUTH,1744,astor,4,0,Composition,,Garage - Attached,Forced air,Central,Craftsman,"Light filled and serene newer construction that lives like brand new. Bamboo floors on main floor and upstairs, high ceilings and custom zero VOC paint make it stand out. Private yard perfect for entertaining w/organic gardens, native drought tolerant and edible plants, herbs, berries and apple tree. Close to Columbia Park, Green Zebra, Portsmouth Pantry, Chill and Fill and New Seasons.",1,21
75,4533 N NEWARK ST,350000,1324.37,3317,1796,898,3,2.5,2007,2 OR MORE STY,PORTSMOUTH,1796,,5,0,Composition,Cement / Concrete,,Forced air,Central,,"Lovely well maintained home features 3 beds 2.5 bth, corner lot, lots of windows, Brazilian hrdwd flrs on the main flr, open ktchn w/eating bar, tile counters, hrdwd flr & pantry, grt lvng rm w/frplc, sliding dr leading to the patio & fully fncd backyard. Utility rm on the main flr, mstr suite, wlk-in clst & dbl snk, hrdwd flr, 2-car grg, nice cvrd frnt prch. Prks, play structures, & paths in the neighborhd, conv lctn, Move-in ready",1,25
76,4705 N STAFFORD ST,250000,2085.23,900,720,480,1,1.0,1945,1 STY W/ATTIC & BSMT,UNIVERSITY PARK,720,,6,0,Composition,Wood,Off-street,Forced air,,Bungalow,,1,31
77,4718 N HOUGHTON ST,345000,3869.09,2500,1637,651,3,2.5,2008,2 OR MORE STY,PORTSMOUTH,1598,,4,0,Composition,Wood,Garage - Attached,Forced air,Central,Craftsman,"OPEN HOUSE 6/4 & 5 from 2-4PM! Offers reviewed 6/6 at 11:00am. Immaculate beauty nestled between the Willamette River & Smith Lake.Moments to notable parks/pools/community centers/playground/shops/dining & nearby St. Johns/New Seasons. Huge Master Suite, open floor plan, gas fireplace, slider to yard.Excellent craftsmanship, built in 2007, private yard, covered patio, abundance of light & storage.Look no further, you''ve found home!",1,20
78,4723 N DEPAUW ST,350000,2123.14,3333,624,624,2,1.0,1911,1 STY W/ATTIC,UNIVERSITY PARK,936,astor,5,0,Composition,Wood,,Forced air,,Bungalow,"Adorable bungalow perfect for it's walk-ability to Univ. of P., zoning allows addition of 800 ft2 ADU w/ or with out garage in the back.  Only a short stroll to Columbia & Portsmouth Parks!!  Highly bike-able only stone throw to Willamete Blvd close to everything N & NE Portland has to offer!*Turn key, well maintained & loved by it's current owner*This will go fast!! Multiple Offers Received - No more Showings.",1,31
79,4726 N LOMBARD ST,389000,3333.38,2250,1721,551,3,2.5,2013,2 OR MORE STY,UNIVERSITY PARK,1721,,6,0,,,,,,,,1,31
80,4730 N AMHERST ST,500000,4676.37,6200,2455,928,3,2.0,1944,1 STY W/ATTIC & BSMT,UNIVERSITY PARK,2455,,6,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Cape Cod,"This one has all of the updates you look for while maintaining the classic charm you love. Inside you will find; kitchen w/Quartz ctrs & ss app, a true master suite w/office/ wlk-in closet/ full bath. Down, an ultimate 3rd bed w/extr. entrance, + exercise & fam. space.  System updates include; 2016 roof/Hardi-plank siding/ designer paint inside & out, 2010 furnace/tankless HWH, 2008 windows, + updated electric/plumb. Welcome Home!",1,25
81,4755 N DEPAUW ST,460000,3379.35,6600,1384,1384,3,1.0,1952,1 STY W/BSMT,UNIVERSITY PARK,2684,astor,4,0,Composition,Wood,Garage - Detached,Other,,Other,Roomy three bedroom one bathroom ranch with formal dining room and living room  with fireplace on main floor. 1300 SF on each floor.  The basement is partially finished with below grade plumbing ready for a additional bedroom.  Great potential for additional living space or modification to a duplex (check with city for confirmation.)  6600 SF yard with 2 car detached garage. Cedar and steel fenced back yard.,1,30
